,,, Plan of Action and Milestones (POA&M),,,,,,,,,
,System Name,,,,Date of this POA&M,,,,,,,
,Company/Organization Name,,,,Date of Last Update,,,,,,,
,,,,,Date of Original POA&M,,,,,,,
,,,,,,,,,,,,
ISSM Information,,,,,,,,,,,,
,Name,,,,IS Type,,,,,,,
,Phone,,,,UID,,,,,,,
, Email,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Identifier,Weakness or Deficiency,Security Control,POC,Resources Required,Scheduled Completion Date,Milestones with Completion Dates,Changes to Milestones,Weakness/ Deficiency Identified by,"Risk Level
(Low/Med/High)",Estimated Cost,Status ,Comments
26-O-0001,Windows 10 CAT I - AC2,AC2,Jeremiah Price - ISSO,"Engineers, System Admins",1/22/2026,"1. Task 1 = Create STP: 1/10/2026
2. Task 2 = Execute STP: 1/15/2026",,STIG Scan,High,,Ongoing,notes about what is going on
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
