Control ID,Control Name,CCI,CCI Definition,Status,Risk Level,Assessment Date,Assessor,Comments
AC-1,Policy and Procedures,CCI-000002,"Disseminate the organization-level; mission/business process-level; and/or system-level access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance to organization-defined personnel or roles.",Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-000003,Review and update the current access control policy on an organization-defined frequency.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-000005,Disseminate procedures to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level access control policy and associated access controls to the organization-defined personnel or roles.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-000006,Review and update the current access control procedures on an organization-defined frequency.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-001545,Defines a frequency for reviewing and updating the access control policy.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-001546,Defines a frequency for reviewing and updating the access control procedures.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-002107,Defines the personnel or roles to be recipients of the organization-level; mission/business process-level; and/or system-level access control policy necessary to facilitate the implementation of the access control policy and associated access controls.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-002108,Defines the personnel or roles to be recipients of the procedures necessary to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level access control policy and associated access controls.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003601,"Develop and document an organization-level; mission/business process-level; and/or system-level access control policy that is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines.",Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003602,"Develop and document an organization-level; mission/business process-level; and/or system-level access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003603,"Disseminate the organization-level; mission/business process-level; and/or system-level access control policy that is consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines to organization-defined personnel or roles.",Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003604,Develop and document procedures to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level access control policy and the associated access control.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003605,Designate an organization-defined official to manage the development and documentation of the access control policy and procedures.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003606,Designate an organization-defined official to manage the dissemination of the access control policy and procedures.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003607,"Defines the official designated to manage the development, documentation, and dissemination of the access control policy and procedures.",Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003608,Review and update the current access control policy following organization-defined events.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003609,Defines the events following reviewing and updating the current access control policy.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003610,Review and update the current access control procedures following organization-defined events.,Compliant,,2024-12-15,ISSM,
AC-1,Policy and Procedures,CCI-003611,Defines the events following reviewing and updating the current access control procedures.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-000010,Require approvals by organization-defined personnel or roles for requests to create accounts.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-000011,"Create, enable, modify, disable, and remove system accounts in accordance with organization-defined procedures.",Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-000012,Review accounts for compliance with account management requirements per organization-defined frequency.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-001547,Defines the frequency on which it will review information system accounts for compliance with account management requirements.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002112,Assign account managers.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002115,Specify authorized users of the system.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002116,Specify authorized users of the group.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002117,Specify authorized users of the role membership.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002118,"Specify authorized access authorizations (i.e., privileges) for each account.",Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002119,Specify organization-attributes (as required) for each account on the system.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002120,Defines the personnel or roles authorized to approve the creation of accounts.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002121,"Defines the procedures to be employed when creating, enabling, modifying, disabling, and removing information system accounts.",Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002122,Monitor the use of accounts.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002123,Notify account managers and organization-defined personnel or roles within an organization-defined time-period when accounts are no longer required.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002124,Notify account managers and organization-defined personnel or roles within an organization-defined time-period when users are terminated or transferred.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002125,Notify account managers and organization-defined personnel or roles within an organization-defined time-period when system usage or need-to-know changes for an individual.,Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-002126,Authorize access to the system based on a valid access authorization.,Non-Compliant,High,2024-12-15,ISSM,
AC-2,Account Management,CCI-002127,Authorize access to the system based on intended system usage.,Non-Compliant,High,2024-12-15,ISSM,
AC-2,Account Management,CCI-002128,Authorize access to the system based on organization-defined attributes (as required).,Non-Compliant,High,2024-12-15,ISSM,
AC-2,Account Management,CCI-002129,Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group.,Non-Compliant,Moderate,2024-12-15,ISSM,
AC-2,Account Management,CCI-003612,Define and document the types of accounts allowed and specifically prohibited for use within the system.,Non-Compliant,Moderate,2024-12-15,ISSM,
AC-2,Account Management,CCI-003613,Require organization-defined prerequisites and criteria for group membership.,Non-Compliant,Moderate,2024-12-15,ISSM,
AC-2,Account Management,CCI-003614,Require organization-defined prerequisites and criteria for role membership.,Non-Compliant,Moderate,2024-12-15,ISSM,
AC-2,Account Management,CCI-003615,Defines the prerequisites and criteria for group and role membership.,Non-Compliant,Low,2024-12-15,ISSM,
AC-2,Account Management,CCI-003616,Defines the attributes (as required) for each account.,Non-Compliant,Low,2024-12-15,ISSM,
AC-2,Account Management,CCI-003617,"Create, enable, modify, disable, and remove system accounts in accordance with organization-defined policy.",Non-Compliant,Low,2024-12-15,ISSM,
AC-2,Account Management,CCI-003618,"Create, enable, modify, disable, and remove system accounts in accordance with organization-defined criteria.",Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-003619,"Create, enable, modify, disable, and remove system accounts in accordance with organization-defined prerequisites.",Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-003620,"Defines the policy to be employed when creating, enabling, modifying, disabling, and removing information system accounts.",Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-003621,"Defines the prerequisites to be employed when creating, enabling, modifying, disabling, and removing information system accounts.",Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-003622,"Defines the criteria to be employed when creating, enabling, modifying, disabling, and removing information system accounts.",Compliant,,2024-12-15,ISSM,
AC-2,Account Management,CCI-003623,Defines the personnel or roles of whom to notify when accounts are no longer required; when users are terminated or transferred; and when system usage or need-to-know changes for an individual.,,,,,
AC-2,Account Management,CCI-003624,Defines the time period of when to notify account managers for each situation.,,,,,
AC-2,Account Management,CCI-003625,Defines the attributes (as required) for authorizing access to the system.,,,,,
AC-2,Account Management,CCI-003626,Align account management processes with personnel termination and transfer processes.,,,,,
AC-2(1),Account Management | Automated System Account Management,CCI-000015,Support the management of system accounts using organization-defined automated mechanisms.,,,,,
AC-2(10),Account Management | Shared and Group Account Credential Change,N/A,No CCIs mapped,,,,,
AC-2(11),Account Management | Usage Conditions,CCI-002143,Defines the circumstances and/or usage conditions that are to be enforced for organization-defined information system accounts.,,,,,
AC-2(11),Account Management | Usage Conditions,CCI-002144,Defines the system accounts that are to be subject to the enforcement of organization-defined circumstances and/or usage conditions.,,,,,
AC-2(11),Account Management | Usage Conditions,CCI-002145,Enforce organization-defined circumstances and/or usage conditions for organization-defined system accounts.,,,,,
AC-2(12),Account Management | Account Monitoring for Atypical Usage,N/A,No CCIs mapped,,,,,
AC-2(13),Account Management | Disable Accounts for High-risk Individuals,CCI-002150,Defines the time period within which the accounts of users posing a significant risk are to be disabled after discovery of the risk.,,,,,
