,NIST SP 800-53 COMPLIANCE DASHBOARD,,,,,,,,,,,,,
,Security Control Assessment Tracker - Auto-Updating Metrics,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Total Families,Total Controls,Total CCIs,Compliant,Non-Compliant,Not Assessed,,,,,,,,
,20,1190,3584,169,25,3390,,,,,,,,
,,,,,,,,,,,,,,
,Compliance Rate:,87.1%,,Assessment Progress:,5.4%,,,,,,,,,
,,,,,,,,,,,,,,
,ASSESSMENT STATUS,,,,RISK DISTRIBUTION,,,,,,,,,
,Status,Count,%,,Risk,Count,%,,,,,,,
,Compliant,169,4.7%,,High,5,26.8%,,,,,,,
,Non-Compliant,25,0.7%,,Moderate,12,64.3%,,,,,,,
,Not Assessed,3390,94.6%,,Low,8,42.9%,,,,,,,
,,,,,,,,,,,,,,
,CONTROL FAMILY COMPLIANCE BREAKDOWN,,,,,,,,,,,,,
,Family,Controls,CCIs,Compliant,Non-Comp,Not Assessed,Comp %,Progress,High,Moderate,Low,,,
,AC,147,461,40,10,411,80%,11%,3,4,3,,,
,AT,17,69,59,10,0,86%,100%,2,5,3,,,
,AU,69,197,30,5,162,86%,18%,0,3,2,,,
,CA,32,107,40,0,67,100%,37%,0,0,0,,,
,CM,66,218,0,0,218,0%,0%,0,0,0,,,
,CP,56,160,0,0,160,0%,0%,0,0,0,,,
,IA,71,156,0,0,156,0%,0%,0,0,0,,,
,IR,42,131,0,0,131,0%,0%,0,0,0,,,
,MA,30,91,0,0,91,0%,0%,0,0,0,,,
,MP,30,89,0,0,89,0%,0%,0,0,0,,,
,PE,59,173,0,0,173,0%,0%,0,0,0,,,
,PL,17,88,0,0,88,0%,0%,0,0,0,,,
,PM,37,234,0,0,234,0%,0%,0,0,0,,,
,PS,18,82,0,0,82,0%,0%,0,0,0,,,
,PT,21,76,0,0,76,0%,0%,0,0,0,,,
,RA,26,101,0,0,101,0%,0%,0,0,0,,,
,SA,145,375,0,0,375,0%,0%,0,0,0,,,
,SC,162,364,0,0,364,0%,0%,0,0,0,,,
,SI,118,321,0,0,321,0%,0%,0,0,0,,,
,SR,27,91,0,0,91,0%,0%,0,0,0,,,
,TOTAL,1190,3584,169,25,3390,87%,5%,5,12,8,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Status,Count,,Risk,Count,,,,,,,,,
,Compliant,169,,High,5,,,,,,,,,
,Non-Compliant,25,,Moderate,12,,,,,,,,,
,Not Assessed,3390,,Low,8,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,USAGE INSTRUCTIONS,,,,,
,,,,,,,,,"• Navigate to each family tab (AC, AT, AU, etc.)",,,,,
,,,,,,,,,"• Set Status: ""Compliant"" or ""Non-Compliant""",,,,,
,,,,,,,,,"• Set Risk Level: ""High"", ""Moderate"", or ""Low""",,,,,
,,,,,,,,,"• Add Assessment Date, Assessor, and Comments",,,,,
,,,,,,,,,• Dashboard updates automatically,,,,,
